ExamNumber	Question	A	B	C	D	Answer	Explanation
1	다음 중 경제학의 정의로 가장 적절한 것은?	돈을 버는 방법을 연구하는 학문	한 사회가 희소한 자원을 어떻게 관리하는지 연구하는 학문	물가와 금리의 변화를 예측하는 학문	주식과 채권 투자 전략을 제시하는 학문	B	경제학은 희소성(scarcity)이라는 기본 문제에서 출발한다. 제한된 자원을 어떻게 배분할 것인가를 연구한다.
1	시장(Market)의 정의로 가장 적절한 것은?	물건을 파는 건물	특정 재화를 사고파는 사람들의 모임	정부가 관리하는 경제 시스템	주식과 채권을 거래하는 장소	B	경제학에서 시장은 물리적 장소가 아니라 거래가 일어나는 전체 체계를 의미한다.
1	후생경제학(Welfare Economics)의 정의로 올바른 것은?	복지 정책만을 연구하는 학문	자원배분과 경제적 후생의 관계를 분석하는 학문	빈곤층을 돕는 방법을 연구하는 학문	정부의 역할을 결정하는 학문	B	후생경제학은 자원이 어떻게 배분되는지가 사회 전체의 경제적 이익(총잉여)에 어떤 영향을 미치는지를 분석한다.
1	다음 중 기회비용(Opportunity Cost)의 예시로 가장 적절한 것은?	장학금으로 받은 1,000만원	대학 진학을 선택함으로써 포기한 취업의 기회	내가 벌 수 있는 월급	학교에 납부한 등록금	B	기회비용은 어떤 선택을 했을 때 포기한 다른 선택의 가치이다.
1	수요의 법칙(Law of Demand)을 설명하는 올바른 것은?	가격이 올라가면 수요량도 올라간다	가격이 올라가면 수요량은 내려간다	가격과 수요량은 무관하다	수요가 늘어나면 가격이 올라간다	B	수요의 법칙은 가격과 수요량의 음의 관계를 나타낸다 (우하향 곡선).
1	소비자잉여(Consumer Surplus)의 정의로 올바른 것은?	구매자가 지불한 총액	지불용의 - 실제 지불 가격	구매자의 총 만족도	판매자와 구매자의 차이	B	소비자잉여는 지불할 의사가 있던 금액과 실제로 지불한 금액의 차이다.
1	경제학자의 사고방식으로 가장 적절한 것은?	현실에서 일어나는 모든 일을 정확히 예측할 수 있다	가설을 세우고 이를 검증하는 과정을 거친다	주관적 경험에만 기초해 판단한다	수학 공식만 사용하여 문제를 푼다	B	경제학자는 과학자다. 가설 수립 → 검증 → 예측이라는 과학적 방법을 따른다.
1	공급의 법칙(Law of Supply)을 설명하는 올바른 것은?	가격이 올라가면 공급량은 내려간다	가격이 올라가면 공급량도 올라간다	가격과 공급량은 무관하다	공급이 늘어나면 가격이 내려간다	B	공급의 법칙은 가격과 공급량의 양의 관계를 나타낸다 (우상향 곡선).
1	절대우위(Absolute Advantage)의 정의로 올바른 것은?	더 빨리 생산하는 능력	더 적은 생산요소로 생산하는 능력	더 낮은 가격에 파는 능력	품질이 더 좋은 제품을 만드는 능력	B	절대우위는 같은 양을 생산할 때 더 적은 생산요소(노동시간, 자본 등)를 사용하는 능력이다.
1	탄력성(Elasticity)의 정의로 가장 적절한 것은?	어떤 재화의 가격	한 변수의 변화에 대해 다른 변수가 반응하는 정도	시장에서의 경쟁 정도	생산 기술의 수준	B	탄력성은 상대적 변화를 비교하는 개념이다.
1	균형(Equilibrium)의 정의로 가장 정확한 것은?	가격이 가장 낮은 상태	공급량이 가장 많은 상태	수요량 = 공급량인 상태	소비자 만족도가 가장 높은 상태	C	균형은 수량 일치로 정의되며, 이 때 시장 압력이 없어 자동으로 유지된다.
1	경제적 순손실(Deadweight Loss)의 정의로 가장 적절한 것은?	세금으로 인한 재정 적자	세금 부과 후 총잉여의 순 감소	소비자와 생산자의 손실액 합계	세금 수입	B	경제적 순손실은 거래가 위축되면서 실현되지 못한 거래이득이다.
1	가격상한제(Price Ceiling)가 효과를 가지는 조건은?	가격상한 = 균형가격	가격상한 > 균형가격	가격상한 < 균형가격	가격상한은 균형가격과 무관	C	가격상한이 균형가격보다 낮아야 시장가격이 내려가는 효과가 있다.
1	국제가격(World Price)과 국내가격(Domestic Price)의 관계를 분석할 때 중요한 것은?	둘의 차이가 큼/작음	국내가격과 국제가격의 대소 비교	국내가격이 절대적으로 높음/낮음	가격의 절대값	B	비교우위 판단은 가격 비교에서 나온다.
1	생산가능곡선(PPF)이 바깥쪽으로 이동하는 경우는?	현재의 생산요소를 더 비효율적으로 사용	기술 퇴보	생산요소의 증가 또는 기술 진보	한 재화의 생산을 포기하고 다른 재화만 생산	C	PPF가 바깥쪽으로 이동하는 것은 경제성장을 의미한다.
1	비탄력적(Inelastic) 수요곡선의 특징으로 올바른 것은?	E > 1	0 < E < 1	E = 1	수평선	B	탄력성 < 1 = 비탄력적 (가격 변화에 둔감).
1	판매자 과세와 구입자 과세의 최종 효과는?	판매자 과세가 더 크다	구입자 과세가 더 크다	같다 (누가 내느냐는 중요하지 않다)	비교할 수 없다	C	조세의 귀착: 누가 법적으로 납세 의무를 지는지는 중요하지 않으며, 최종 효과는 동일하다.
1	비교우위(Comparative Advantage)의 정의로 가장 적절한 것은?	절대우위를 가진 국가	더 적은 기회비용으로 생산하는 능력	시장에서 경쟁에서 이기는 능력	더 큰 생산량을 가진 국가	B	비교우위는 기회비용 비교로 결정된다.
1	총잉여(Total Surplus)의 정의로 올바른 것은?	소비자잉여 + 생산자잉여	정부의 세금 수입	사회 전체의 총 생산량	시장의 총 거래액	A	총잉여는 사회 전체의 경제적 후생을 나타낸다.
1	레퍼 곡선(Laffer Curve)이 의미하는 것은?	세율이 높을수록 항상 세수가 많다	세율을 0%에서 100%로 올리면 세수도 비례해서 증가한다	어떤 지점까지는 세율 인상 → 세수 증가, 이후 → 세수 감소	세율과 세수는 무관하다	C	레퍼 곡선: 세율이 너무 높으면 거래 왜곡이 심해져서 오히려 세수가 줄어든다.
1	한 나라의 생활수준이 높아지려면?	통화량을 계속 증가시켜야 한다	정부의 규모를 계속 키워야 한다	생산성을 향상시켜야 한다	물가를 계속 낮춰야 한다	C	"생활수준은 생산능력에 달려 있다." 생산성 향상은 교육, 기술 투자, 자본 축적을 통해 이루어진다.
1	관세(Tariff)의 정의로 올바른 것은?	수출품에 부과하는 세금	수입품에 부과하는 세금	국제 거래 모두에 부과하는 세금	정부의 모든 세금	B	관세는 수입품 보호 정책의 일환이다.
1	정상재(Normal Good)의 특징으로 올바른 것은?	소득이 올라가면 수요가 내려간다	소득이 올라가면 수요가 올라간다	소득과 무관하게 수요가 일정하다	소득이 올라가면 가격이 내려간다	B	정상재는 소득이 증가하면 수요도 증가한다. 대부분의 재화가 정상재이다.
1	무역의 경제학적 결론은?	무역은 한 쪽에만 이득	무역은 양쪽 모두에 이득 (총잉여 증가)	무역은 경제에 해로움	무역의 득과 실은 동일	B	무역 → 특화 → 생산량 증가 → 양쪽 모두 더 소비 가능 = 양쪽 이득.
1	다음 중 교역의 결과로 올바른 것은?	양쪽 모두가 이득을 본다	한쪽이 이득을 보면 다른 쪽은 손실을 본다	절대우위가 있는 쪽만 이득을 본다	비교우위와 무관하게 항상 한쪽이 손실을 본다	A	교역은 양쪽이 자발적으로 하는 것이므로, 쌍방이 모두 이득을 본다. ---
2	효율성(Efficiency)과 형평성(Equity)의 관계로 올바른 것은?	효율적인 배분은 항상 공정하다	공정한 배분은 항상 효율적이다	효율성과 형평성은 서로 독립적이며, 상충관계가 있을 수 있다	효율성과 형평성은 같은 의미의 단어이다	C	효율성은 총잉여의 극대화를, 형평성은 자원 분배의 공정성을 의미한다. 이 둘은 다른 목표이며 상충할 수 있다.
2	어떤 재화의 수요곡선이 오른쪽으로 이동했다면?	이 재화의 가격이 올라갔다	이 재화의 가격이 내려갔다	가격과 무관한 다른 요인(소득, 취향 등)이 변했다	공급이 감소했다	C	수요곡선 자체의 이동(= 수요의 변화)은 가격 외의 요인 변화로 인한 것이다.
2	세금과 경제적 순손실의 관계는?	비례 (세금 2배 → 손실 2배)	제곱에 비례 (세금 2배 → 손실 4배)	반비례	무관	B	경제적 순손실 ∝ (세금)². 세금이 높을수록 왜곡이 기하급수적으로 커진다.
2	학생 A는 토요일 오전에 아르바이트(시간당 20,000원)를 할 수도 있고, 친구들과 영화를 볼 수도 있다(영화표 18,000원). 영화를 보기로 결정했을 때의 기회비용은?	18,000원	20,000원	38,000원	기회비용은 없다	B	기회비용은 영화를 보기로 결정했을 때 포기한 것의 가치이다. 즉, 벌 수 있는 아르바이트비(20,000원)가 기회비용이다.
2	무역 개시 후 수입국에서 발생하는 현상은?	소비자잉여 증가, 생산자잉여 감소	소비자잉여 감소, 생산자잉여 증가	둘 다 증가	둘 다 감소	A	수입국 → 가격 ↓ → 소비자 이득 (잉여 ↑), 생산자 피해 (잉여 ↓).
2	가격이 올라갔을 때 총수입(TR = P × Q)이 올라가려면?	탄력적 수요	비탄력적 수요	단위탄력 수요	완전탄력 수요	B	비탄력적(E < 1) → 가격 ↑ → 수요량 감소폭 작음 → 총수입 ↑.
2	수요곡선이 이동한 것과 곡선 위에서 움직인 것의 차이는?	같은 의미이다	수요곡선 이동 = 가격 변화, 곡선 위 이동 = 수요 변화	수요 변화 = 곡선 이동, 수요량 변화 = 곡선 위 이동	구분할 수 없다	C	가격 변화만으로 곡선 위에서 움직이는 것을 "수요량 변화"라 한다. 다른 요인 변화로 곡선 자체가 이동하는 것을 "수요 변화"라 한다.
2	조세 부과 후 세금의 실질적 부담이 누가 더 크게 지게 되는가?	수요 측 (구입자)	공급 측 (판매자)	더 비탄력적인 쪽	정부가 정한 쪽	C	비탄력적인 쪽이 회피 수단이 없으므로 더 큰 부담을 진다.
2	프랭크: 감자 8개 또는 고기 4마리 / 루비: 감자 6개 또는 고기 2마리. 누가 고기 생산에 비교우위를 가지는가?	프랭크 (기회비용 2개 < 3개)	루비 (더 어렵기 때문에)	둘 다	계산할 수 없다	A	고기 1마리의 기회비용이 작은 쪽(프랭크)이 비교우위를 가진다.
2	자유시장 경쟁 균형에서 달성되는 상태는?	모든 소비자가 만족한다	모든 생산자가 이윤을 낸다	총잉여가 극대화된다 (효율적)	모든 사람의 소득이 같아진다	C	자유시장 균형은 효율적이다. 하지만 형평성은 보장하지 않는다.
2	최저임금제는 가격하한제의 예인데, 부작용으로 예상되는 것은?	임금 인상으로 근로자 모두 만족	실업 증가 (일자리 감소)	자동으로 임금이 올라감	기업의 이윤이 증가	B	최저임금 > 균형임금 → 초과공급 (일하려는 사람 > 일자리) → 실업 증가.
