Chapter	Question	A	B	C	D	Answer	Explanation
1	다음 중 경제학의 정의로 가장 적절한 것은?	돈을 버는 방법을 연구하는 학문	한 사회가 희소한 자원을 어떻게 관리하는지 연구하는 학문	물가와 금리의 변화를 예측하는 학문	주식과 채권 투자 전략을 제시하는 학문	B	경제학은 희소성(scarcity)이라는 기본 문제에서 출발한다. 제한된 자원을 어떻게 배분할 것인가를 연구한다. ①은 경제학의 일부 응용일 뿐 정의가 아니고, ③④는 경제학의 특정 분야일 뿐이다.
1	희소성(Scarcity)의 정의로 올바른 것은?	모든 사람이 원하는 것을 다 가질 수 없는 상태	자원의 유한성으로 인해 모든 선택에 대가가 있는 상태	경제가 어려워서 물품이 부족한 상태	부자와 빈자의 격차가 크지 않은 상태	B	희소성은 자원의 절대적 부족을 의미한다. 이로 인해 모든 선택에는 기회비용이 발생한다. ①은 희소성의 한 측면이지만 정의로는 부정확하고, ③은 경제 상황에 따른 일시적 부족, ④는 형평성과 관련된 다른 개념이다.
1	다음 중 기회비용(Opportunity Cost)의 예시로 가장 적절한 것은?	장학금으로 받은 1,000만원	대학 진학을 선택함으로써 포기한 취업의 기회	내가 벌 수 있는 월급	학교에 납부한 등록금	B	기회비용은 어떤 선택을 했을 때 포기한 다른 선택의 가치이다. 대학을 가기로 결정했을 때 포기한 것은 "지금 당장 취업하는 것"이다. ①④는 실제 비용(明示的 비용)이고, ③는 기회비용의 일부이지만 가장 직접적인 예시는 아니다.
1	다음 중 매몰비용(Sunk Cost)의 예시로 올바른 것은?	반값 할인권을 사용하여 영화관에 들어갔을 때, 영화가 재미없으면 중도 퇴장하기	이미 지불한 영화표 가격이 중도 퇴장 결정에 영향을 미치지 않는다	반값 할인권을 또 구매하는 데 드는 비용	장래에 영화관에서 추가로 지출할 예정인 금액	B	매몰비용은 이미 지출되어 돌이킬 수 없는 비용이므로, 의사결정에 영향을 주지 않아야 한다. ②가 매몰비용을 올바르게 설명한다. ①은 이미 지불한 표값의 영향을 받는 잘못된 결정이고, ③④는 미래의 비용이라 매몰비용이 아니다.
1	경제적 유인(Incentive)의 예로 가장 적절한 것은?	부모님이 자녀의 성적 향상을 위해 상금을 제시하기	교사가 학생들에게 시험을 보기	학생이 공부가 싫어서 학원을 빠지기	학교의 교육과정이 변경되기	A	유인은 보상이나 벌칙을 통해 행동을 변화시키는 것이다. ①은 상금이라는 긍정적 유인이 자녀의 공부 의욕을 자극하는 예이다. ②③④는 유인의 정의를 만족하지 않는다.
1	다음 중 정부가 시장실패를 해결해야 한다고 주장하는 근거로 가장 부적절한 것은?	외부효과(Externality)의 존재	시장지배력(Market Power)의 행사	국내 기업들이 국제 시장에서 경쟁하기 위함	공해 방지를 위한 환경 규제	C	시장실패의 원인은 외부효과와 시장지배력이다. ③은 국가의 경쟁력 강화를 위한 산업정책으로, 시장실패 해결과는 다른 이유이다. 또한 정부가 항상 개입이 효율적인 것은 아니며, 이는 정부실패의 가능성도 있다.
1	효율성(Efficiency)과 형평성(Equity)의 관계로 올바른 것은?	효율적인 배분은 항상 공정하다	공정한 배분은 항상 효율적이다	효율성과 형평성은 서로 독립적이며, 상충관계가 있을 수 있다	효율성과 형평성은 같은 의미의 단어이다	C	효율성은 총잉여의 극대화를, 형평성은 자원 분배의 공정성을 의미한다. 이 둘은 다른 목표이며 상충할 수 있다. 예를 들어, 일부가 대부분의 부를 가져도 총잉여는 최대일 수 있지만 형평성은 매우 낮다.
1	시장경제(Market Economy)와 계획경제(Planned Economy)의 가장 큰 차이점은?	시장경제는 물가가 높고, 계획경제는 물가가 낮다	시장경제는 개인의 자유로운 선택에 의해, 계획경제는 정부의 지시에 의해 경제가 조직된다	시장경제는 선진국에서만 가능하고, 계획경제는 모든 국가에서 가능하다	시장경제는 효율적이고, 계획경제는 항상 비효율적이다	B	시장경제의 핵심은 개인의 자유로운 의사결정에 의해 가격 메커니즘을 통해 경제가 조직되는 것이다. 계획경제는 정부가 중앙에서 모든 경제활동을 지시한다. ①③④는 일반화된 선언이 아니다.
1	다음 상황을 읽고, 경제적 의사결정의 기본원리를 적용하시오.** 학생 A는 토요일 오전에 아르바이트(시간당 20,000원)를 할 수도 있고, 친구들과 영화를 볼 수도 있다(영화표 18,000원). 이 경우 영화를 보기로 결정했을 때의 기회비용은? ① 18,000원 ② 20,000원 ③ 38,000원 ④ 기회비용은 없다 정답: ② 해설: 기회비용은 영화를 보기로 결정했을 때 포기한 것의 가치이다. 즉, 벌 수 있는 아르바이트비(20,000원)가 기회비용이다. 영화표 비용(18,000원)은 이미 지출한 실제 비용이지 기회비용이 아니다. --- **10. 어떤 상황에서 정부의 개입이 시장의 성과를 개선할 수 있는가?	시장지배력이 없는 완전경쟁시장일 때	외부효과와 시장지배력 때문에 시장실패가 발생했을 때	국민의 생활수준이 높아질 때	무역량이 증가할 때	B	시장실패는 시장지배력(독점 등)이나 외부효과(공해, 기술 개발의 긍정적 효과 등)로 인해 발생한다. 정부가 이를 해결할 수 있다. ①은 이미 효율적인 상태이고, ③④는 정부 개입의 근거가 아니다.
1	한 나라의 생활수준이 높아지려면?	통화량을 계속 증가시켜야 한다	정부의 규모를 계속 키워야 한다	생산성을 향상시켜야 한다	물가를 계속 낮춰야 한다	C	경제학의 원리 8에서 다룬 내용이다. "생활수준은 생산능력에 달려 있다." 생산성 향상은 교육, 기술 투자, 자본 축적을 통해 이루어진다.
